"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2012","Tercero","559.0","876.0","391.0","885.0","421.0","364.0","1621.0","1783.0","87.0","29.0","671.0","634.0","1344.0","1077.0","1107.0","265.0","99.0","173.0","178.0","71.0","98.0","53.0","22.0","254.0","77.0","198.0","250.0","196.0","186.0","359.0","3372.0","541.0","264.0","576.0","1939.0","449.0","2266.0","383.0","141.0","474.0","116.0","123.0","602.0","5187.0","1307.0","380.0","226.0","240.0","582.0","176.0","74.0","68.0"
"Año 2012","Cuarto","469.0","926.0","359.0","853.0","423.0","388.0","1589.0","1550.0","74.0","39.0","702.0","628.0","1096.0","1017.0","821.0","274.0","59.0","149.0","125.0","62.0","106.0","73.0","37.0","249.0","81.0","166.0","264.0","73.0","195.0","243.0","2921.0","480.0","244.0","542.0","1760.0","435.0","2175.0","332.0","166.0","418.0","92.0","123.0","488.0","5102.0","1115.0","293.0","201.0","254.0","485.0","164.0","72.0","112.0"
"Año 2013","Primero","382.0","896.0","421.0","813.0","304.0","375.0","1373.0","1542.0","79.0","30.0","568.0","641.0","911.0","944.0","783.0","285.0","55.0","165.0","167.0","71.0","106.0","51.0","23.0","239.0","77.0","168.0","300.0","90.0","156.0","287.0","2870.0","434.0","215.0","528.0","1623.0","386.0","2088.0","305.0","141.0","428.0","112.0","119.0","583.0","4722.0","1142.0","281.0","173.0","204.0","522.0","152.0","80.0","77.0"
"Año 2013","Segundo","622.0","972.0","429.0","883.0","435.0","361.0","1563.0","1631.0","72.0","34.0","650.0","633.0","1040.0","941.0","857.0","264.0","71.0","144.0","207.0","75.0","32.0","37.0","28.0","256.0","53.0","195.0","267.0","117.0","227.0","340.0","3056.0","489.0","217.0","540.0","1623.0","423.0","2267.0","310.0","173.0","457.0","138.0","113.0","602.0","4964.0","1063.0","308.0","189.0","266.0","549.0","149.0","84.0","78.0"
"Año 2013","Tercero","541.0","969.0","448.0","854.0","490.0","369.0","1914.0","1636.0","90.0","30.0","689.0","614.0","1319.0","1025.0","750.0","310.0","50.0","151.0","234.0","88.0","108.0","77.0","30.0","365.0","63.0","221.0","293.0","114.0","172.0","382.0","3140.0","465.0","235.0","614.0","1719.0","421.0","2379.0","367.0","184.0","485.0","135.0","136.0","623.0","4988.0","1146.0","311.0","208.0","276.0","568.0","135.0","47.0","72.0"
"Año 2013","Cuarto","534.0","896.0","329.0","743.0","411.0","367.0","1359.0","1614.0","71.0","36.0","725.0","550.0","1102.0","1048.0","763.0","278.0","57.0","127.0","214.0","96.0","66.0","51.0","23.0","442.0","54.0","226.0","270.0","100.0","144.0","290.0","3032.0","495.0","229.0","590.0","1535.0","420.0","2186.0","305.0","149.0","402.0","147.0","126.0","568.0","4832.0","1305.0","319.0","181.0","218.0","583.0","112.0","58.0","84.0"
"Año 2014","Primero","502.0","864.0","390.0","880.0","394.0","433.0","1364.0","1568.0","85.0","38.0","695.0","674.0","1008.0","932.0","745.0","268.0","69.0","151.0","234.0","76.0","83.0","47.0","33.0","508.0","75.0","200.0","294.0","98.0","85.0","304.0","2894.0","423.0","216.0","569.0","1548.0","329.0","2255.0","312.0","152.0","454.0","140.0","109.0","502.0","4730.0","1060.0","368.0","155.0","243.0","575.0","138.0","57.0","85.0"
"Año 2014","Segundo","552.0","1017.0","383.0","857.0","391.0","441.0","1386.0","1640.0","65.0","35.0","713.0","634.0","1212.0","922.0","755.0","336.0","57.0","178.0","219.0","39.0","99.0","80.0","36.0","471.0","71.0","206.0","218.0","83.0","146.0","306.0","3117.0","439.0","201.0","589.0","1656.0","419.0","2128.0","299.0","181.0","463.0","165.0","140.0","596.0","4739.0","1322.0","311.0","163.0","290.0","591.0","173.0","89.0","80.0"
"Año 2014","Tercero","521.0","951.0","475.0","885.0","431.0","398.0","1674.0","1832.0","91.0","40.0","718.0","568.0","1350.0","1069.0","797.0","347.0","76.0","167.0","205.0","29.0","82.0","46.0","35.0","563.0","90.0","213.0","341.0","69.0","150.0","376.0","3183.0","505.0","258.0","640.0","1685.0","410.0","2285.0","344.0","153.0","504.0","113.0","125.0","582.0","4933.0","1259.0","371.0","186.0","310.0","536.0","106.0","60.0","64.0"
"Año 2014","Cuarto","509.0","974.0","405.0","825.0","384.0","433.0","1499.0","1652.0","52.0","44.0","665.0","610.0","1117.0","922.0","794.0","279.0","72.0","184.0","262.0","37.0","78.0","43.0","38.0","520.0","79.0","189.0","296.0","111.0","179.0","419.0","3189.0","427.0","222.0","470.0","1466.0","353.0","2101.0","347.0","145.0","507.0","127.0","132.0","550.0","4868.0","1398.0","278.0","159.0","241.0","541.0","132.0","33.0","74.0"
"Año 2015","Primero","540.0","972.0","368.0","773.0","373.0","368.0","1521.0","1888.0","87.0","32.0","649.0","565.0","1106.0","891.0","779.0","252.0","56.0","147.0","214.0","40.0","80.0","47.0","34.0","327.0","75.0","201.0","240.0","109.0","174.0","346.0","3100.0","417.0","189.0","505.0","1579.0","357.0","2060.0","418.0","155.0","549.0","116.0","112.0","518.0","4284.0","1098.0","339.0","191.0","275.0","572.0","131.0","27.0","47.0"
"Año 2015","Segundo","516.0","908.0","421.0","895.0","418.0","328.0","1548.0","1624.0","60.0","43.0","724.0","572.0","1168.0","1018.0","833.0","321.0","69.0","146.0","246.0","52.0","71.0","64.0","24.0","478.0","60.0","195.0","237.0","113.0","195.0","373.0","3291.0","482.0","199.0","576.0","1581.0","390.0","2335.0","425.0","159.0","429.0","160.0","137.0","586.0","4749.0","1222.0","274.0","179.0","295.0","574.0","138.0","45.0","77.0"
"Año 2015","Tercero","713.0","986.0","396.0","914.0","413.0","421.0","1514.0","1860.0","76.0","37.0","391.0","599.0","1377.0","1042.0","1048.0","334.0","84.0","168.0","281.0","48.0","65.0","63.0","25.0","474.0","102.0","205.0","351.0","130.0","169.0","444.0","3618.0","549.0","256.0","559.0","1769.0","411.0","2214.0","382.0","267.0","495.0","137.0","139.0","578.0","4709.0","1310.0","299.0","234.0","267.0","519.0","158.0","37.0","68.0"
