"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2019","Segundo","490.0","380.0","109.0","199.0","123.0","88.0","298.0","423.0","59.0","29.0","160.0","201.0","295.0","249.0","404.0","71.0","34.0","59.0","52.0","17.0","49.0","17.0","21.0","99.0","29.0","88.0","125.0","51.0","65.0","121.0","953.0","140.0","79.0","227.0","499.0","150.0","700.0","174.0","66.0","199.0","71.0","109.0","145.0","1522.0","417.0","96.0","30.0","61.0","123.0","66.0","23.0","7.0"
"Año 2019","Tercero","427.0","287.0","117.0","267.0","153.0","111.0","486.0","467.0","64.0","15.0","182.0","218.0","358.0","213.0","382.0","76.0","36.0","81.0","63.0","25.0","35.0","13.0","26.0","105.0","28.0","117.0","119.0","51.0","83.0","143.0","989.0","163.0","65.0","246.0","627.0","164.0","753.0","172.0","48.0","203.0","60.0","99.0","174.0","1531.0","464.0","121.0","33.0","61.0","161.0","46.0","35.0","10.0"
"Año 2019","Cuarto","332.0","296.0","95.0","225.0","140.0","119.0","344.0","434.0","57.0","24.0","176.0","262.0","364.0","235.0","271.0","77.0","28.0","78.0","55.0","21.0","25.0","29.0","13.0","118.0","42.0","86.0","127.0","43.0","76.0","153.0","896.0","134.0","64.0","226.0","559.0","120.0","705.0","120.0","65.0","218.0","70.0","65.0","176.0","1415.0","405.0","96.0","32.0","39.0","106.0","49.0","35.0","15.0"
"Año 2020","Primero","342.0","282.0","123.0","296.0","81.0","96.0","320.0","387.0","51.0","21.0","118.0","196.0","336.0","213.0","373.0","71.0","19.0","80.0","56.0","22.0","29.0","15.0","15.0","99.0","24.0","96.0","99.0","24.0","40.0","139.0","806.0","127.0","64.0","181.0","595.0","88.0","549.0","130.0","51.0","258.0","58.0","69.0","144.0","1267.0","301.0","84.0","24.0","41.0","96.0","73.0","28.0","24.0"
"Año 2020","Segundo","278.0","269.0","119.0","241.0","156.0","97.0","246.0","409.0","62.0","22.0","140.0","155.0","328.0","282.0","286.0","65.0","25.0","46.0","79.0","12.0","27.0","12.0","8.0","74.0","22.0","85.0","51.0","49.0","27.0","81.0","765.0","92.0","73.0","139.0","412.0","56.0","482.0","100.0","53.0","243.0","47.0","53.0","146.0","1212.0","290.0","126.0","14.0","46.0","53.0","50.0","22.0","22.0"
"Año 2020","Tercero","352.0","339.0","127.0","329.0","213.0","97.0","320.0","482.0","53.0","7.0","144.0","207.0","315.0","302.0","302.0","89.0","20.0","71.0","88.0","18.0","19.0","15.0","25.0","106.0","49.0","145.0","98.0","50.0","72.0","170.0","1016.0","176.0","75.0","221.0","550.0","161.0","717.0","133.0","40.0","279.0","57.0","66.0","193.0","1359.0","370.0","95.0","15.0","45.0","78.0","57.0","25.0","21.0"
"Año 2020","Cuarto","186.0","306.0","108.0","309.0","125.0","61.0","309.0","396.0","40.0","10.0","84.0","168.0","200.0","252.0","215.0","60.0","26.0","64.0","67.0","19.0","18.0","14.0","16.0","94.0","32.0","72.0","68.0","32.0","41.0","139.0","736.0","93.0","61.0","173.0","473.0","106.0","566.0","115.0","45.0","174.0","50.0","43.0","129.0","1281.0","296.0","80.0","29.0","42.0","77.0","69.0","15.0","21.0"
"Año 2021","Primero","175.0","242.0","81.0","331.0","269.0","75.0","266.0","402.0","35.0","7.0","139.0","167.0","156.0","219.0","207.0","63.0","39.0","70.0","42.0","23.0","12.0","12.0","22.0","115.0","21.0","89.0","84.0","38.0","38.0","95.0","768.0","95.0","90.0","188.0","474.0","88.0","576.0","134.0","55.0","173.0","44.0","32.0","122.0","1195.0","281.0","69.0","31.0","46.0","78.0","73.0","20.0","10.0"
"Año 2021","Segundo","209.0","401.0","132.0","342.0","164.0","104.0","333.0","402.0","34.0","11.0","144.0","143.0","239.0","268.0","197.0","98.0","33.0","69.0","63.0","31.0","22.0","16.0","20.0","95.0","25.0","86.0","96.0","33.0","48.0","99.0","921.0","117.0","74.0","187.0","521.0","100.0","619.0","154.0","53.0","253.0","53.0","52.0","167.0","1520.0","365.0","98.0","36.0","48.0","97.0","74.0","22.0","16.0"
"Año 2021","Tercero","268.0","328.0","110.0","359.0","106.0","85.0","325.0","456.0","58.0","21.0","181.0","171.0","280.0","262.0","224.0","87.0","47.0","83.0","50.0","32.0","29.0","11.0","20.0","118.0","30.0","70.0","103.0","44.0","57.0","140.0","869.0","138.0","88.0","233.0","646.0","127.0","700.0","166.0","58.0","210.0","47.0","44.0","136.0","1377.0","479.0","87.0","35.0","65.0","105.0","89.0","30.0","20.0"
"Año 2021","Cuarto","201.0","335.0","106.0","358.0","147.0","111.0","255.0","479.0","41.0","13.0","183.0","160.0","222.0","271.0","228.0","116.0","36.0","74.0","56.0","35.0","28.0","24.0","32.0","105.0","16.0","82.0","95.0","41.0","63.0","150.0","892.0","132.0","99.0","194.0","630.0","110.0","633.0","141.0","64.0","227.0","52.0","44.0","128.0","1390.0","391.0","101.0","16.0","81.0","141.0","74.0","28.0","20.0"
"Año 2022","Primero","272.0","264.0","88.0","343.0","95.0","123.0","352.0","444.0","31.0","13.0","189.0","193.0","279.0","257.0","228.0","105.0","19.0","62.0","55.0","28.0","39.0","32.0","26.0","96.0","17.0","81.0","101.0","47.0","35.0","116.0","864.0","115.0","87.0","173.0","569.0","95.0","674.0","135.0","72.0","215.0","40.0","62.0","135.0","1226.0","334.0","90.0","24.0","72.0","154.0","78.0","24.0","29.0"
"Año 2022","Segundo","279.0","330.0","120.0","332.0","133.0","145.0","351.0","462.0","45.0","17.0","166.0","242.0","359.0","193.0","251.0","112.0","37.0","65.0","50.0","35.0","38.0","18.0","22.0","132.0","27.0","89.0","109.0","44.0","47.0","169.0","1081.0","158.0","94.0","192.0","588.0","151.0","740.0","156.0","101.0","195.0","52.0","84.0","155.0","1473.0","431.0","100.0","23.0","100.0","152.0","97.0","20.0","22.0"
"Año 2022","Tercero","281.0","294.0","117.0","219.0","122.0","140.0","330.0","502.0","52.0","20.0","204.0","232.0","415.0","197.0","218.0","95.0","29.0","86.0","75.0","26.0","34.0","26.0","35.0","104.0","39.0","90.0","125.0","49.0","42.0","178.0","1011.0","157.0","104.0","216.0","542.0","125.0","653.0","156.0","92.0","193.0","68.0","62.0","169.0","1490.0","394.0","126.0","34.0","50.0","164.0","67.0","30.0","23.0"
