Año,Trimestre,Mes,Provincia,Edad_victima,Edad_agresor,Victimas_mortales
2023,Tercero,Julio,Tarragona,31-40 años,21-30 años,1
2023,Tercero,Julio,Valencia/València,31-40 años,51-60 años,1
2023,Tercero,Julio,Navarra,41-50 años,51-60 años,1
2023,Tercero,Julio,La Rioja,31-40 años,41-50 años,1
2023,Tercero,Agosto,Almería,21-30 años,31-40 años,1
2023,Tercero,Agosto,Cádiz,61-70 años,71-84 años,1
2023,Tercero,Agosto,Córdoba,31-40 años,31-40 años,1
2023,Tercero,Agosto,Santa Cruz de Tenerife,>=85 años,>=85 años,1
2023,Tercero,Agosto,Salamanca,31-40 años,41-50 años,1
2023,Tercero,Agosto,Valencia/València,51-60 años,61-70 años,1
2023,Tercero,Agosto,Madrid,51-60 años,61-70 años,1
2023,Tercero,Septiembre,Granada,31-40 años,41-50 años,1
2023,Tercero,Septiembre,Jaén,51-60 años,51-60 años,1
2023,Tercero,Septiembre,Sevilla,41-50 años,41-50 años,1
2023,Tercero,Septiembre,Toledo,41-50 años,41-50 años,1
2023,Tercero,Septiembre,Girona,71-84 años,71-84 años,1
2023,Tercero,Septiembre,Tarragona,41-50 años,41-50 años,1
2023,Tercero,Septiembre,Alicante/Alacant,71-84 años,71-84 años,1
2023,Tercero,Septiembre,Castellón/Castelló,51-60 años,51-60 años,1
2023,Tercero,Septiembre,Madrid,31-40 años,21-30 años,1
2023,Tercero,Septiembre,Murcia,31-40 años,41-50 años,1
2023,Cuarto,Octubre,Málaga,51-60 años,61-70 años,1
2023,Cuarto,Noviembre,Madrid,31-40 años,41-50 años,1
