Año,Trimestre,Provincia,Numero_ordenes
2009,Cuarto,Palencia,18
2009,Cuarto,Salamanca,41
2009,Cuarto,Segovia,15
2009,Cuarto,Soria,6
2009,Cuarto,Valladolid,106
2009,Cuarto,Zamora,15
2009,Cuarto,Albacete,74
2009,Cuarto,Ciudad Real,99
2009,Cuarto,Cuenca,41
2009,Cuarto,Guadalajara,80
2009,Cuarto,Toledo,194
2009,Cuarto,Barcelona,1013
2009,Cuarto,Girona,228
2009,Cuarto,Lleida,67
2009,Cuarto,Tarragona,201
2009,Cuarto,Alicante/Alacant,528
2009,Cuarto,Castellón/Castelló,124
2009,Cuarto,Valencia/València,411
2009,Cuarto,Badajoz,117
2009,Cuarto,Cáceres,48
2009,Cuarto,A Coruña,103
2009,Cuarto,Lugo,40
2009,Cuarto,Ourense,40
2009,Cuarto,Pontevedra,131
2009,Cuarto,Madrid,1531
2009,Cuarto,Murcia,462
2009,Cuarto,Navarra,79
2009,Cuarto,Araba/Álava,20
2009,Cuarto,Gipuzkoa,73
2009,Cuarto,Bizkaia,138
2009,Cuarto,La Rioja,58
2009,Cuarto,Ceuta,11
2009,Cuarto,Melilla,3
2010,Primero,Almería,99
2010,Primero,Cádiz,247
2010,Primero,Córdoba,87
2010,Primero,Granada,116
2010,Primero,Huelva,131
2010,Primero,Jaén,100
2010,Primero,Málaga,217
2010,Primero,Sevilla,408
2010,Primero,Huesca,20
2010,Primero,Teruel,19
2010,Primero,Zaragoza,115
2010,Primero,Asturias,199
2010,Primero,Illes Balears,266
2010,Primero,Las Palmas,475
2010,Primero,Santa Cruz de Tenerife,304
2010,Primero,Cantabria,84
2010,Primero,Ávila,36
2010,Primero,Burgos,57
2010,Primero,León,97
2010,Primero,Palencia,27
2010,Primero,Salamanca,34
2010,Primero,Segovia,16
2010,Primero,Soria,20
2010,Primero,Valladolid,112
2010,Primero,Zamora,20
2010,Primero,Albacete,81
2010,Primero,Ciudad Real,130
2010,Primero,Cuenca,40
2010,Primero,Guadalajara,66
2010,Primero,Toledo,236
2010,Primero,Barcelona,1063
2010,Primero,Girona,188
2010,Primero,Lleida,52
2010,Primero,Tarragona,221
2010,Primero,Alicante/Alacant,499
2010,Primero,Castellón/Castelló,114
2010,Primero,Valencia/València,501
2010,Primero,Badajoz,132
2010,Primero,Cáceres,46
2010,Primero,A Coruña,104
2010,Primero,Lugo,47
2010,Primero,Ourense,50
2010,Primero,Pontevedra,119
2010,Primero,Madrid,1450
2010,Primero,Murcia,427
2010,Primero,Navarra,63
2010,Primero,Araba/Álava,16
2010,Primero,Gipuzkoa,69
2010,Primero,Bizkaia,113
2010,Primero,La Rioja,50
2010,Primero,Ceuta,15
2010,Primero,Melilla,2
2010,Segundo,Almería,112
2010,Segundo,Cádiz,314
2010,Segundo,Córdoba,101
2010,Segundo,Granada,98
2010,Segundo,Huelva,161
2010,Segundo,Jaén,93
2010,Segundo,Málaga,252
