"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2004","Marzo","Zaragoza","21-30 años","21-30 años","1.0"
"Año 2004","Marzo","Santa Cruz de Tenerife","51-60 años","61-70 años","1.0"
"Año 2004","Marzo","Barcelona","31-40 años","31-40 años","1.0"
"Año 2004","Abril","Córdoba","71-84 años","71-84 años","1.0"
"Año 2004","Abril","Málaga","21-30 años","31-40 años","1.0"
"Año 2004","Abril","Guadalajara","No consta","No consta","1.0"
"Año 2004","Abril","Valencia/València","No consta","41-50 años","1.0"
"Año 2004","Abril","Madrid","41-50 años","41-50 años","1.0"
"Año 2004","Abril","Madrid","51-60 años","No consta","1.0"
"Año 2004","Mayo","Cádiz","18-20 años","21-30 años","1.0"
"Año 2004","Mayo","Córdoba","18-20 años","21-30 años","1.0"
"Año 2004","Mayo","Zaragoza","51-60 años","61-70 años","1.0"
"Año 2004","Mayo","León","71-84 años","71-84 años","1.0"
"Año 2004","Mayo","Albacete","21-30 años","No consta","1.0"
"Año 2004","Mayo","Barcelona","31-40 años","No consta","1.0"
"Año 2004","Mayo","Tarragona","<16 años","18-20 años","1.0"
"Año 2004","Mayo","Valencia/València","51-60 años","51-60 años","1.0"
"Año 2004","Junio","Granada","41-50 años","No consta","1.0"
"Año 2004","Junio","Granada","51-60 años","61-70 años","1.0"
"Año 2004","Junio","Valencia/València","18-20 años","21-30 años","1.0"
"Año 2004","Junio","Valencia/València","61-70 años","61-70 años","1.0"
"Año 2004","Junio","Valencia/València","61-70 años","No consta","1.0"
"Año 2004","Junio","Navarra","51-60 años","61-70 años","1.0"
"Año 2004","Julio","Almería","31-40 años","41-50 años","1.0"
"Año 2004","Julio","Cádiz","31-40 años","31-40 años","1.0"
"Año 2004","Julio","Las Palmas","31-40 años","No consta","1.0"
"Año 2004","Julio","Barcelona","41-50 años","41-50 años","1.0"
"Año 2004","Julio","Madrid","61-70 años","71-84 años","1.0"
"Año 2004","Julio","Murcia","<16 años","18-20 años","1.0"
"Año 2004","Julio","Murcia","31-40 años","31-40 años","1.0"
"Año 2004","Agosto","Cádiz","41-50 años","No consta","1.0"
"Año 2004","Agosto","Cantabria","31-40 años","31-40 años","1.0"
"Año 2004","Agosto","Albacete","31-40 años","41-50 años","1.0"
"Año 2004","Agosto","Barcelona","51-60 años","51-60 años","1.0"
"Año 2004","Agosto","Valencia/València","31-40 años","No consta","1.0"
"Año 2004","Agosto","Madrid","21-30 años","31-40 años","1.0"
"Año 2004","Septiembre","Sevilla","71-84 años","71-84 años","1.0"
"Año 2004","Septiembre","Cantabria","31-40 años","31-40 años","1.0"
"Año 2004","Septiembre","León","31-40 años","31-40 años","1.0"
"Año 2004","Septiembre","Barcelona","18-20 años","21-30 años","1.0"
"Año 2004","Septiembre","Barcelona","No consta","No consta","1.0"
"Año 2004","Septiembre","Tarragona",">=85 años",">=85 años","1.0"
"Año 2004","Septiembre","Bizkaia","21-30 años","21-30 años","1.0"
"Año 2004","Octubre","Córdoba","31-40 años","No consta","1.0"
"Año 2004","Octubre","Huelva","31-40 años","21-30 años","1.0"
"Año 2004","Octubre","Sevilla","51-60 años","51-60 años","1.0"
"Año 2004","Octubre","Tarragona","<16 años","31-40 años","1.0"
"Año 2004","Octubre","Valencia/València","41-50 años","21-30 años","1.0"
"Año 2004","Octubre","Murcia","41-50 años","41-50 años","1.0"
"Año 2004","Octubre","La Rioja","61-70 años","61-70 años","1.0"
"Año 2004","Noviembre","Sevilla","18-20 años","21-30 años","1.0"
"Año 2004","Noviembre","Alicante/Alacant","51-60 años","No consta","1.0"
"Año 2004","Noviembre","Valencia/València","41-50 años","No consta","1.0"
"Año 2004","Noviembre","Bizkaia","No consta","16-17 años","1.0"
"Año 2004","Diciembre","Toledo","No consta","21-30 años","1.0"
"Año 2004","Diciembre","Barcelona","31-40 años","No consta","1.0"
"Año 2004","Diciembre","Barcelona","51-60 años","No consta","1.0"
"Año 2004","Diciembre","Cáceres","71-84 años","71-84 años","1.0"
"Año 2004","Diciembre","A Coruña","31-40 años","No consta","1.0"
"Año 2004","Diciembre","Ourense","No consta","No consta","1.0"
"Año 2004","Diciembre","Murcia","No consta","No consta","1.0"
"Año 2004","Diciembre","Bizkaia","51-60 años","51-60 años","1.0"
"Año 2005","Enero","Málaga","21-30 años","21-30 años","1.0"
