"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2008","Octubre","Granada","41-50 años","41-50 años","1.0"
"Año 2008","Octubre","Madrid","21-30 años","41-50 años","1.0"
"Año 2008","Octubre","Murcia","21-30 años","31-40 años","1.0"
"Año 2008","Octubre","Navarra","41-50 años","51-60 años","1.0"
"Año 2008","Octubre","Bizkaia","21-30 años","31-40 años","1.0"
"Año 2008","Noviembre","Valencia/València","21-30 años","31-40 años","1.0"
"Año 2008","Noviembre","A Coruña","41-50 años","31-40 años","1.0"
"Año 2008","Noviembre","Pontevedra","21-30 años","41-50 años","1.0"
"Año 2008","Noviembre","Pontevedra","51-60 años","51-60 años","1.0"
"Año 2008","Noviembre","Madrid","61-70 años","61-70 años","1.0"
"Año 2008","Noviembre","Murcia","41-50 años","71-84 años","1.0"
"Año 2008","Diciembre","Las Palmas","21-30 años","21-30 años","1.0"
"Año 2008","Diciembre","Las Palmas","21-30 años","31-40 años","1.0"
"Año 2008","Diciembre","Santa Cruz de Tenerife","61-70 años","71-84 años","1.0"
"Año 2008","Diciembre","Guadalajara","21-30 años","21-30 años","1.0"
"Año 2008","Diciembre","Barcelona","31-40 años","31-40 años","1.0"
"Año 2008","Diciembre","Barcelona","51-60 años","51-60 años","1.0"
"Año 2008","Diciembre","Lleida","41-50 años","51-60 años","1.0"
"Año 2008","Diciembre","Valencia/València","31-40 años","21-30 años","1.0"
"Año 2008","Diciembre","A Coruña","51-60 años","61-70 años","1.0"
"Año 2008","Diciembre","Pontevedra","41-50 años","41-50 años","1.0"
"Año 2008","Diciembre","Gipuzkoa","31-40 años","21-30 años","1.0"
"Año 2009","Febrero","Granada","51-60 años","61-70 años","1.0"
"Año 2009","Febrero","Huelva","31-40 años","31-40 años","1.0"
"Año 2009","Febrero","Sevilla","21-30 años","21-30 años","1.0"
"Año 2009","Febrero","Madrid","21-30 años","31-40 años","1.0"
"Año 2009","Febrero","Madrid","31-40 años","31-40 años","1.0"
"Año 2009","Marzo","Málaga","41-50 años","41-50 años","1.0"
"Año 2009","Marzo","Santa Cruz de Tenerife","31-40 años","41-50 años","1.0"
"Año 2009","Marzo","Tarragona","21-30 años","31-40 años","1.0"
"Año 2009","Marzo","Castellón/Castelló","41-50 años","41-50 años","1.0"
"Año 2009","Marzo","Valencia/València","61-70 años","51-60 años","1.0"
"Año 2009","Marzo","Bizkaia","41-50 años","41-50 años","1.0"
"Año 2009","Abril","Granada","71-84 años","71-84 años","1.0"
"Año 2009","Abril","Cáceres","51-60 años","61-70 años","1.0"
"Año 2009","Mayo","Almería","41-50 años","41-50 años","1.0"
"Año 2009","Mayo","Santa Cruz de Tenerife","31-40 años","31-40 años","1.0"
"Año 2009","Mayo","Santa Cruz de Tenerife","41-50 años","41-50 años","1.0"
"Año 2009","Mayo","Barcelona","18-20 años","21-30 años","2.0"
"Año 2009","Mayo","Barcelona","31-40 años","51-60 años","1.0"
"Año 2009","Mayo","Alicante/Alacant","18-20 años","21-30 años","1.0"
"Año 2009","Mayo","Castellón/Castelló","31-40 años","31-40 años","1.0"
"Año 2009","Mayo","Gipuzkoa","31-40 años","31-40 años","1.0"
"Año 2009","Junio","Las Palmas","51-60 años","51-60 años","1.0"
"Año 2009","Junio","Barcelona","31-40 años","21-30 años","1.0"
"Año 2009","Junio","Alicante/Alacant","31-40 años","41-50 años","1.0"
"Año 2009","Junio","Madrid","21-30 años","21-30 años","1.0"
"Año 2009","Junio","Madrid","71-84 años","71-84 años","1.0"
"Año 2009","Julio","Málaga","51-60 años","51-60 años","1.0"
"Año 2009","Julio","Sevilla","51-60 años","51-60 años","1.0"
"Año 2009","Julio","Toledo","31-40 años","21-30 años","1.0"
"Año 2009","Julio","A Coruña","31-40 años","41-50 años","1.0"
"Año 2009","Julio","Murcia","41-50 años","61-70 años","1.0"
"Año 2009","Julio","Ceuta","21-30 años","31-40 años","1.0"
"Año 2009","Agosto","Málaga","61-70 años","61-70 años","1.0"
"Año 2009","Agosto","Barcelona","21-30 años","18-20 años","1.0"
"Año 2009","Agosto","Barcelona","41-50 años","41-50 años","1.0"
"Año 2009","Agosto","A Coruña","71-84 años","71-84 años","1.0"
"Año 2009","Agosto","Ourense","18-20 años","31-40 años","1.0"
"Año 2009","Agosto","Murcia","21-30 años","31-40 años","1.0"
"Año 2009","Septiembre","Almería","41-50 años","51-60 años","1.0"
"Año 2009","Septiembre","Santa Cruz de Tenerife","31-40 años","31-40 años","1.0"
"Año 2009","Septiembre","Ávila","21-30 años","21-30 años","1.0"
"Año 2009","Septiembre","Barcelona","21-30 años","31-40 años","1.0"
"Año 2009","Septiembre","Alicante/Alacant","31-40 años","41-50 años","1.0"
"Año 2009","Septiembre","Valencia/València","31-40 años","31-40 años","1.0"
"Año 2009","Octubre","Córdoba","51-60 años","61-70 años","1.0"
"Año 2009","Octubre","Málaga","21-30 años","21-30 años","1.0"
"Año 2009","Octubre","Illes Balears","31-40 años","41-50 años","1.0"
"Año 2009","Octubre","Tarragona","31-40 años","31-40 años","1.0"
"Año 2009","Octubre","Tarragona","41-50 años","51-60 años","1.0"
"Año 2009","Octubre","Alicante/Alacant","51-60 años","61-70 años","1.0"
"Año 2009","Noviembre","La Rioja","31-40 años","31-40 años","1.0"
"Año 2009","Diciembre","Almería","61-70 años","61-70 años","1.0"
"Año 2009","Diciembre","Huelva","41-50 años","21-30 años","1.0"
"Año 2009","Diciembre","Málaga","21-30 años","21-30 años","1.0"
"Año 2009","Diciembre","Valencia/València","71-84 años",">=85 años","1.0"
"Año 2009","Diciembre","Madrid","18-20 años","31-40 años","1.0"
"Año 2010","Enero","Sevilla","41-50 años","51-60 años","1.0"
"Año 2010","Enero","Illes Balears","41-50 años","51-60 años","1.0"
"Año 2010","Enero","Madrid","31-40 años","31-40 años","1.0"
"Año 2010","Febrero","Almería","21-30 años","31-40 años","1.0"
"Año 2010","Febrero","Asturias","51-60 años","51-60 años","1.0"
"Año 2010","Febrero","Tarragona","31-40 años","41-50 años","1.0"
"Año 2010","Febrero","Madrid","21-30 años","31-40 años","1.0"
"Año 2010","Marzo","Almería","41-50 años","41-50 años","1.0"
"Año 2010","Marzo","Huelva","51-60 años","51-60 años","1.0"
"Año 2010","Marzo","Santa Cruz de Tenerife","31-40 años","61-70 años","1.0"
"Año 2010","Marzo","Burgos","21-30 años","31-40 años","1.0"
"Año 2010","Marzo","Valladolid","51-60 años","51-60 años","1.0"
"Año 2010","Marzo","Barcelona","31-40 años","31-40 años","1.0"
"Año 2010","Marzo","Castellón/Castelló","51-60 años","61-70 años","1.0"
"Año 2010","Abril","Málaga","51-60 años","71-84 años","1.0"
"Año 2010","Abril","Zaragoza","21-30 años","41-50 años","1.0"
"Año 2010","Abril","Asturias","41-50 años","31-40 años","1.0"
"Año 2010","Abril","Asturias","51-60 años","51-60 años","1.0"
"Año 2010","Abril","Burgos","51-60 años","51-60 años","1.0"
"Año 2010","Abril","Alicante/Alacant","21-30 años","31-40 años","1.0"
"Año 2010","Abril","Valencia/València","51-60 años","41-50 años","1.0"
"Año 2010","Abril","Madrid","21-30 años","31-40 años","1.0"
"Año 2010","Mayo","Sevilla","31-40 años","31-40 años","1.0"
"Año 2010","Mayo","Sevilla","41-50 años","31-40 años","1.0"
"Año 2010","Mayo","Santa Cruz de Tenerife","31-40 años","31-40 años","1.0"
"Año 2010","Mayo","Barcelona","31-40 años","31-40 años","1.0"
"Año 2010","Mayo","Girona","41-50 años","51-60 años","1.0"
"Año 2010","Mayo","Murcia","61-70 años","51-60 años","1.0"
"Año 2010","Junio","Almería","31-40 años","31-40 años","1.0"
"Año 2010","Junio","Asturias","51-60 años","51-60 años","1.0"
"Año 2010","Junio","Santa Cruz de Tenerife","41-50 años","41-50 años","1.0"
"Año 2010","Junio","Girona","31-40 años","51-60 años","1.0"
"Año 2010","Junio","Alicante/Alacant","51-60 años","51-60 años","1.0"
"Año 2010","Julio","Cádiz","51-60 años","61-70 años","1.0"
"Año 2010","Julio","Granada","41-50 años","61-70 años","1.0"
"Año 2010","Julio","Zaragoza","41-50 años","41-50 años","1.0"
"Año 2010","Julio","Las Palmas","21-30 años","31-40 años","1.0"
"Año 2010","Julio","Santa Cruz de Tenerife","31-40 años","31-40 años","1.0"
"Año 2010","Julio","Santa Cruz de Tenerife","41-50 años","51-60 años","1.0"
"Año 2010","Julio","Cuenca","31-40 años","41-50 años","1.0"
"Año 2010","Julio","Cuenca","61-70 años","71-84 años","1.0"
"Año 2010","Julio","Barcelona","21-30 años","31-40 años","1.0"
"Año 2010","Julio","Bizkaia","31-40 años","41-50 años","1.0"
"Año 2010","Agosto","Girona","41-50 años","31-40 años","1.0"
"Año 2010","Agosto","Lugo","41-50 años","41-50 años","1.0"
"Año 2010","Septiembre","Almería","31-40 años","41-50 años","1.0"
"Año 2010","Septiembre","Córdoba","21-30 años","31-40 años","1.0"
"Año 2010","Septiembre","Asturias","21-30 años","21-30 años","1.0"
"Año 2010","Septiembre","Palencia","41-50 años","41-50 años","1.0"
"Año 2010","Septiembre","Barcelona","21-30 años","31-40 años","1.0"
"Año 2010","Septiembre","Girona","31-40 años","31-40 años","1.0"
"Año 2010","Septiembre","Castellón/Castelló","31-40 años","41-50 años","1.0"
"Año 2010","Septiembre","A Coruña","31-40 años","51-60 años","1.0"
"Año 2010","Octubre","Granada","31-40 años","51-60 años","1.0"
"Año 2010","Octubre","Málaga","71-84 años","71-84 años","1.0"
"Año 2010","Octubre","Barcelona","41-50 años","41-50 años","1.0"
"Año 2010","Octubre","Tarragona","21-30 años","31-40 años","1.0"
"Año 2010","Octubre","Alicante/Alacant","51-60 años","51-60 años","1.0"
"Año 2010","Octubre","Madrid","41-50 años","51-60 años","1.0"
"Año 2010","Noviembre","Almería","31-40 años","41-50 años","1.0"
"Año 2010","Noviembre","Sevilla","31-40 años","31-40 años","1.0"
"Año 2010","Noviembre","Illes Balears","41-50 años",">=85 años","1.0"
"Año 2010","Noviembre","Santa Cruz de Tenerife","31-40 años","31-40 años","1.0"
"Año 2010","Noviembre","Valencia/València","51-60 años","41-50 años","1.0"
"Año 2010","Noviembre","Madrid","16-17 años","18-20 años","1.0"
"Año 2010","Noviembre","Madrid","71-84 años","71-84 años","1.0"
"Año 2010","Diciembre","Málaga","21-30 años","21-30 años","1.0"
"Año 2010","Diciembre","Ciudad Real","21-30 años","21-30 años","1.0"
"Año 2010","Diciembre","Barcelona","41-50 años","31-40 años","1.0"
"Año 2010","Diciembre","Alicante/Alacant","21-30 años","21-30 años","1.0"
"Año 2010","Diciembre","Badajoz","41-50 años","51-60 años","1.0"
"Año 2010","Diciembre","Madrid","31-40 años","41-50 años","1.0"
"Año 2010","Diciembre","Bizkaia","21-30 años","21-30 años","1.0"
"Año 2011","Enero","Granada","21-30 años","31-40 años","1.0"
"Año 2011","Enero","Jaén","41-50 años","41-50 años","1.0"
"Año 2011","Enero","Illes Balears","61-70 años",">=85 años","1.0"
"Año 2011","Enero","Las Palmas","51-60 años","41-50 años","1.0"
"Año 2011","Enero","Segovia","41-50 años","51-60 años","1.0"
"Año 2011","Enero","Ciudad Real","41-50 años","41-50 años","1.0"
"Año 2011","Enero","Madrid","51-60 años","41-50 años","1.0"
"Año 2011","Enero","Murcia","31-40 años","51-60 años","1.0"
"Año 2011","Febrero","Almería","21-30 años","41-50 años","1.0"
"Año 2011","Febrero","Almería","41-50 años","31-40 años","1.0"
"Año 2011","Febrero","Málaga","31-40 años","41-50 años","1.0"
"Año 2011","Febrero","Barcelona","21-30 años","21-30 años","1.0"
"Año 2011","Febrero","Tarragona","41-50 años","31-40 años","1.0"
"Año 2011","Febrero","Valencia/València","31-40 años","61-70 años","1.0"
"Año 2011","Marzo","Granada","51-60 años","51-60 años","1.0"
"Año 2011","Marzo","Jaén","41-50 años","41-50 años","1.0"
"Año 2011","Marzo","Madrid","51-60 años","51-60 años","1.0"
"Año 2011","Abril","Alicante/Alacant","21-30 años","41-50 años","1.0"
"Año 2011","Abril","Madrid","18-20 años","21-30 años","1.0"
"Año 2011","Abril","Navarra","21-30 años","21-30 años","1.0"
"Año 2011","Mayo","Almería","21-30 años","31-40 años","1.0"
"Año 2011","Mayo","Almería","21-30 años","41-50 años","1.0"
"Año 2011","Mayo","Córdoba","21-30 años","21-30 años","1.0"
"Año 2011","Mayo","Barcelona","31-40 años","41-50 años","1.0"
"Año 2011","Mayo","Girona","61-70 años","71-84 años","1.0"
"Año 2011","Mayo","A Coruña","18-20 años","21-30 años","1.0"
"Año 2011","Mayo","Madrid","41-50 años","31-40 años","1.0"
"Año 2011","Mayo","Madrid","41-50 años","41-50 años","1.0"
"Año 2011","Junio","Asturias","51-60 años","61-70 años","1.0"
"Año 2011","Junio","Valencia/València","71-84 años","71-84 años","1.0"
"Año 2011","Julio","Granada","18-20 años","21-30 años","1.0"
"Año 2011","Julio","Zaragoza","21-30 años","21-30 años","1.0"
"Año 2011","Julio","Barcelona","21-30 años","21-30 años","1.0"
"Año 2011","Julio","Alicante/Alacant","21-30 años","51-60 años","1.0"
"Año 2011","Julio","Valencia/València","21-30 años","31-40 años","1.0"
"Año 2011","Julio","Madrid","31-40 años","51-60 años","1.0"
"Año 2011","Julio","Gipuzkoa","51-60 años","41-50 años","1.0"
"Año 2011","Agosto","Burgos","41-50 años","51-60 años","1.0"
"Año 2011","Agosto","Madrid","61-70 años","61-70 años","1.0"
"Año 2011","Agosto","Murcia","61-70 años","71-84 años","1.0"
"Año 2011","Agosto","Bizkaia","31-40 años","31-40 años","1.0"
"Año 2011","Septiembre","Almería","31-40 años","41-50 años","1.0"
"Año 2011","Septiembre","Cádiz","61-70 años","61-70 años","1.0"
"Año 2011","Septiembre","Sevilla","41-50 años","41-50 años","1.0"
"Año 2011","Septiembre","Santa Cruz de Tenerife","31-40 años","51-60 años","1.0"
"Año 2011","Septiembre","Castellón/Castelló","41-50 años","51-60 años","1.0"
"Año 2011","Septiembre","Valencia/València","31-40 años","51-60 años","1.0"
"Año 2011","Octubre","Málaga","51-60 años","51-60 años","1.0"
"Año 2011","Octubre","Asturias","21-30 años","21-30 años","1.0"
"Año 2011","Octubre","Las Palmas","31-40 años","31-40 años","1.0"
"Año 2011","Octubre","Girona","31-40 años","41-50 años","1.0"
"Año 2011","Octubre","Alicante/Alacant","71-84 años","71-84 años","1.0"
"Año 2011","Octubre","Pontevedra","31-40 años","41-50 años","1.0"
"Año 2011","Noviembre","Zaragoza","21-30 años","51-60 años","1.0"
"Año 2011","Noviembre","Barcelona","41-50 años","41-50 años","1.0"
"Año 2011","Noviembre","Lleida","31-40 años","51-60 años","1.0"
"Año 2011","Diciembre","Almería","31-40 años","51-60 años","1.0"
"Año 2011","Diciembre","Sevilla","21-30 años","31-40 años","1.0"
"Año 2011","Diciembre","Girona","51-60 años","51-60 años","1.0"
"Año 2011","Diciembre","A Coruña","31-40 años","31-40 años","1.0"
"Año 2011","Diciembre","Madrid","31-40 años","31-40 años","1.0"
"Año 2011","Diciembre","Madrid","51-60 años","41-50 años","1.0"
"Año 2012","Enero","Jaén","41-50 años","51-60 años","1.0"
"Año 2012","Enero","Barcelona","51-60 años","21-30 años","1.0"
"Año 2012","Enero","Barcelona","51-60 años","51-60 años","1.0"
"Año 2012","Enero","Barcelona","51-60 años","61-70 años","1.0"
"Año 2012","Enero","Girona","21-30 años","31-40 años","1.0"
"Año 2012","Enero","Tarragona","31-40 años","31-40 años","1.0"
"Año 2012","Enero","Tarragona","41-50 años","51-60 años","1.0"
"Año 2012","Enero","Badajoz","71-84 años","71-84 años","1.0"
"Año 2012","Febrero","Valencia/València","41-50 años","41-50 años","1.0"
"Año 2012","Febrero","Madrid","41-50 años","31-40 años","1.0"
"Año 2012","Marzo","Ourense","61-70 años","71-84 años","1.0"
"Año 2012","Marzo","Gipuzkoa","31-40 años","21-30 años","1.0"
"Año 2012","Abril","Sevilla","21-30 años","18-20 años","1.0"
"Año 2012","Abril","Sevilla","51-60 años","51-60 años","1.0"
"Año 2012","Abril","Las Palmas","21-30 años","31-40 años","1.0"
"Año 2012","Abril","Madrid","61-70 años",">=85 años","1.0"
"Año 2012","Mayo","Málaga","71-84 años","71-84 años","1.0"
"Año 2012","Mayo","Ciudad Real","41-50 años","41-50 años","1.0"
"Año 2012","Mayo","Alicante/Alacant","21-30 años","51-60 años","1.0"
"Año 2012","Junio","Málaga","61-70 años","71-84 años","1.0"
"Año 2012","Junio","Zaragoza","21-30 años","41-50 años","1.0"
"Año 2012","Junio","Asturias","51-60 años","61-70 años","1.0"
"Año 2012","Junio","Illes Balears","51-60 años","51-60 años","1.0"
"Año 2012","Junio","Barcelona","61-70 años","61-70 años","1.0"
"Año 2012","Junio","Girona","21-30 años","21-30 años","1.0"
"Año 2012","Junio","Tarragona","21-30 años","31-40 años","1.0"
"Año 2012","Junio","Alicante/Alacant","21-30 años","31-40 años","1.0"
"Año 2012","Junio","Alicante/Alacant","31-40 años","41-50 años","1.0"
"Año 2012","Junio","A Coruña","21-30 años","31-40 años","1.0"
"Año 2012","Julio","Santa Cruz de Tenerife","41-50 años","41-50 años","1.0"
"Año 2012","Julio","Valencia/València","51-60 años","51-60 años","1.0"
"Año 2012","Julio","Madrid","51-60 años","31-40 años","1.0"
"Año 2012","Agosto","Guadalajara","21-30 años","31-40 años","1.0"
"Año 2012","Agosto","Madrid","31-40 años","41-50 años","1.0"
"Año 2012","Septiembre","Barcelona","31-40 años","31-40 años","1.0"
"Año 2012","Septiembre","Valencia/València","31-40 años","31-40 años","1.0"
"Año 2012","Octubre","Jaén","21-30 años","21-30 años","1.0"
"Año 2012","Octubre","Illes Balears","61-70 años","51-60 años","1.0"
"Año 2012","Octubre","León","21-30 años","31-40 años","1.0"
"Año 2012","Octubre","Albacete","<16 años","31-40 años","1.0"
"Año 2012","Octubre","Cuenca","31-40 años","31-40 años","1.0"
"Año 2012","Octubre","Tarragona","61-70 años","71-84 años","1.0"
"Año 2012","Noviembre","Granada","71-84 años","71-84 años","1.0"
"Año 2012","Noviembre","León","41-50 años","51-60 años","1.0"
"Año 2012","Noviembre","A Coruña","51-60 años","61-70 años","1.0"
"Año 2012","Noviembre","Madrid","18-20 años","21-30 años","1.0"
"Año 2012","Noviembre","Madrid","21-30 años","31-40 años","1.0"
"Año 2012","Noviembre","Araba/Álava","61-70 años","61-70 años","1.0"
"Año 2012","Diciembre","Barcelona","41-50 años","41-50 años","1.0"
"Año 2012","Diciembre","Barcelona","71-84 años","71-84 años","1.0"
"Año 2012","Diciembre","A Coruña","41-50 años","41-50 años","1.0"
"Año 2013","Enero","Albacete","21-30 años","51-60 años","1.0"
"Año 2013","Enero","Alicante/Alacant","31-40 años","41-50 años","1.0"
"Año 2013","Enero","Valencia/València","31-40 años","31-40 años","1.0"
"Año 2013","Enero","Madrid","31-40 años","41-50 años","1.0"
"Año 2013","Febrero","Zaragoza","31-40 años","31-40 años","1.0"
"Año 2013","Febrero","Illes Balears","41-50 años","41-50 años","1.0"
"Año 2013","Febrero","Santa Cruz de Tenerife","31-40 años","41-50 años","1.0"
"Año 2013","Febrero","Ciudad Real","21-30 años","31-40 años","1.0"
"Año 2013","Marzo","Sevilla","41-50 años","41-50 años","1.0"
"Año 2013","Marzo","Illes Balears","31-40 años","31-40 años","1.0"
"Año 2013","Marzo","Tarragona","31-40 años","31-40 años","1.0"
"Año 2013","Marzo","Alicante/Alacant","41-50 años","41-50 años","1.0"
"Año 2013","Marzo","Valencia/València","31-40 años","41-50 años","1.0"
"Año 2013","Marzo","Lugo","31-40 años","41-50 años","1.0"
"Año 2013","Marzo","Madrid","31-40 años","31-40 años","1.0"
"Año 2013","Marzo","Madrid","61-70 años","61-70 años","1.0"
"Año 2013","Abril","Jaén","61-70 años","71-84 años","1.0"
"Año 2013","Abril","Zaragoza","41-50 años","51-60 años","1.0"
"Año 2013","Abril","Zamora","51-60 años","61-70 años","1.0"
"Año 2013","Abril","Lleida","21-30 años","31-40 años","1.0"
"Año 2013","Abril","Madrid","31-40 años","41-50 años","1.0"
"Año 2013","Abril","Madrid","61-70 años","71-84 años","1.0"
"Año 2013","Mayo","Córdoba","51-60 años","51-60 años","1.0"
"Año 2013","Mayo","Jaén","51-60 años","41-50 años","1.0"
"Año 2013","Mayo","Cantabria","21-30 años","31-40 años","1.0"
"Año 2013","Mayo","León","18-20 años","21-30 años","1.0"
"Año 2013","Mayo","Madrid","31-40 años","21-30 años","1.0"
"Año 2013","Mayo","Araba/Álava","21-30 años","41-50 años","1.0"
"Año 2013","Junio","Cádiz","21-30 años","21-30 años","1.0"
"Año 2013","Junio","Córdoba","71-84 años","71-84 años","1.0"
"Año 2013","Julio","Granada","21-30 años","31-40 años","1.0"
"Año 2013","Julio","Las Palmas","31-40 años","21-30 años","1.0"
"Año 2013","Agosto","Asturias","71-84 años",">=85 años","1.0"
"Año 2013","Agosto","Badajoz","61-70 años","71-84 años","1.0"
"Año 2013","Septiembre","Málaga","21-30 años","31-40 años","1.0"
"Año 2013","Septiembre","León","21-30 años","21-30 años","1.0"
"Año 2013","Septiembre","Palencia","41-50 años","41-50 años","1.0"
"Año 2013","Septiembre","Guadalajara","31-40 años","31-40 años","1.0"
"Año 2013","Septiembre","Valencia/València","41-50 años","41-50 años","1.0"
"Año 2013","Septiembre","Ourense","51-60 años","61-70 años","1.0"
"Año 2013","Septiembre","Madrid","31-40 años","41-50 años","1.0"
"Año 2013","Septiembre","Madrid","41-50 años","31-40 años","1.0"
"Año 2013","Octubre","Almería","21-30 años","31-40 años","1.0"
"Año 2013","Octubre","Lleida","<16 años","18-20 años","1.0"
"Año 2013","Octubre","Alicante/Alacant","21-30 años","31-40 años","1.0"
"Año 2013","Octubre","Castellón/Castelló","51-60 años","51-60 años","1.0"
"Año 2013","Octubre","Valencia/València","41-50 años","41-50 años","1.0"
"Año 2013","Noviembre","Málaga","31-40 años","41-50 años","1.0"
"Año 2013","Noviembre","Málaga","61-70 años","61-70 años","1.0"
"Año 2013","Noviembre","Cuenca","31-40 años","41-50 años","1.0"
"Año 2013","Noviembre","Valencia/València","21-30 años","31-40 años","1.0"
"Año 2013","Noviembre","Madrid","41-50 años","31-40 años","1.0"
"Año 2013","Diciembre","Barcelona","31-40 años","31-40 años","1.0"
"Año 2013","Diciembre","Pontevedra","41-50 años","31-40 años","1.0"
"Año 2014","Enero","Córdoba","41-50 años","31-40 años","1.0"
"Año 2014","Enero","Santa Cruz de Tenerife","31-40 años","31-40 años","1.0"
"Año 2014","Enero","Barcelona","41-50 años","41-50 años","1.0"
"Año 2014","Enero","Tarragona","51-60 años","51-60 años","1.0"
"Año 2014","Enero","Alicante/Alacant","51-60 años","51-60 años","1.0"
"Año 2014","Enero","Lugo","41-50 años","51-60 años","1.0"
"Año 2014","Enero","Madrid","21-30 años","18-20 años","1.0"
"Año 2014","Febrero","Barcelona","41-50 años","41-50 años","1.0"
"Año 2014","Febrero","Barcelona","71-84 años","71-84 años","1.0"
"Año 2014","Febrero","Alicante/Alacant","51-60 años","21-30 años","1.0"
"Año 2014","Febrero","A Coruña","31-40 años","41-50 años","1.0"
"Año 2014","Febrero","Madrid","41-50 años","31-40 años","1.0"
"Año 2014","Marzo","Cádiz","71-84 años","71-84 años","1.0"
"Año 2014","Marzo","Málaga","41-50 años","41-50 años","1.0"
"Año 2014","Marzo","Illes Balears","31-40 años","21-30 años","1.0"
"Año 2014","Marzo","Valladolid","31-40 años","31-40 años","1.0"
"Año 2014","Marzo","Barcelona","51-60 años","51-60 años","1.0"
"Año 2014","Marzo","Madrid","41-50 años","41-50 años","1.0"
"Año 2014","Marzo","Bizkaia","31-40 años","31-40 años","1.0"
"Año 2014","Marzo","Melilla","51-60 años","61-70 años","1.0"
"Año 2014","Abril","Cádiz","41-50 años","41-50 años","1.0"
"Año 2014","Abril","Barcelona","41-50 años","41-50 años","1.0"
"Año 2014","Abril","Tarragona","71-84 años","71-84 años","1.0"
"Año 2014","Abril","A Coruña","41-50 años","41-50 años","1.0"
"Año 2014","Abril","Lugo","61-70 años","61-70 años","1.0"
"Año 2014","Mayo","Almería","31-40 años","31-40 años","1.0"
"Año 2014","Mayo","Madrid","21-30 años","31-40 años","1.0"
"Año 2014","Junio","Granada","51-60 años","51-60 años","1.0"
"Año 2014","Junio","Illes Balears","41-50 años","41-50 años","1.0"
"Año 2014","Junio","León","51-60 años","51-60 años","1.0"
"Año 2014","Julio","Málaga","21-30 años","21-30 años","1.0"
"Año 2014","Julio","Illes Balears","41-50 años","51-60 años","1.0"
"Año 2014","Julio","Pontevedra","71-84 años","71-84 años","1.0"
"Año 2014","Agosto","Almería","41-50 años","31-40 años","1.0"
"Año 2014","Agosto","Málaga","31-40 años","31-40 años","1.0"
"Año 2014","Agosto","Barcelona","41-50 años","41-50 años","1.0"
"Año 2014","Agosto","Barcelona","41-50 años","61-70 años","1.0"
"Año 2014","Agosto","Alicante/Alacant","31-40 años","31-40 años","1.0"
"Año 2014","Agosto","Alicante/Alacant",">=85 años",">=85 años","1.0"
"Año 2014","Agosto","Pontevedra","31-40 años","41-50 años","1.0"
"Año 2014","Agosto","Madrid","31-40 años","51-60 años","1.0"
"Año 2014","Septiembre","Granada","51-60 años","51-60 años","1.0"
"Año 2014","Septiembre","Alicante/Alacant","71-84 años","61-70 años","1.0"
"Año 2014","Octubre","Barcelona","21-30 años","41-50 años","1.0"
"Año 2014","Octubre","Valencia/València","41-50 años","41-50 años","1.0"
"Año 2014","Noviembre","Barcelona","31-40 años","31-40 años","1.0"
"Año 2014","Noviembre","Barcelona","41-50 años","41-50 años","1.0"
"Año 2014","Noviembre","Girona","31-40 años","51-60 años","1.0"
"Año 2014","Noviembre","Madrid","31-40 años","31-40 años","1.0"
"Año 2014","Noviembre","Araba/Álava","41-50 años","41-50 años","1.0"
"Año 2014","Diciembre","Valladolid","31-40 años","41-50 años","1.0"
"Año 2014","Diciembre","Valencia/València","31-40 años","31-40 años","1.0"
"Año 2014","Diciembre","Madrid","31-40 años","51-60 años","1.0"
"Año 2014","Diciembre","Bizkaia","51-60 años","51-60 años","1.0"
"Año 2014","Diciembre","Melilla","18-20 años","31-40 años","1.0"
"Año 2015","Enero","Barcelona","31-40 años","41-50 años","1.0"
"Año 2015","Enero","Alicante/Alacant","61-70 años","51-60 años","1.0"
"Año 2015","Enero","Alicante/Alacant","61-70 años","61-70 años","1.0"
"Año 2015","Febrero","Málaga","31-40 años","51-60 años","1.0"
"Año 2015","Febrero","Valencia/València","31-40 años","41-50 años","1.0"
"Año 2015","Marzo","Málaga","21-30 años","41-50 años","1.0"
"Año 2015","Marzo","Lleida","21-30 años","31-40 años","1.0"
"Año 2015","Marzo","Alicante/Alacant","41-50 años","31-40 años","1.0"
"Año 2015","Marzo","Cáceres","21-30 años","21-30 años","1.0"
"Año 2015","Abril","Araba/Álava","21-30 años","31-40 años","1.0"
"Año 2015","Mayo","Almería","41-50 años","41-50 años","1.0"
"Año 2015","Mayo","Alicante/Alacant","41-50 años","41-50 años","1.0"
"Año 2015","Mayo","Ourense","61-70 años","71-84 años","1.0"
"Año 2015","Mayo","Madrid","41-50 años","41-50 años","1.0"
"Año 2015","Junio","Málaga","31-40 años","51-60 años","1.0"
"Año 2015","Junio","Sevilla","41-50 años","51-60 años","1.0"
"Año 2015","Junio","Cantabria","31-40 años","41-50 años","1.0"
"Año 2015","Junio","Soria","31-40 años","31-40 años","1.0"
"Año 2015","Junio","Barcelona","41-50 años","41-50 años","1.0"
"Año 2015","Julio","Málaga","51-60 años","51-60 años","1.0"
"Año 2015","Julio","Asturias","41-50 años","31-40 años","1.0"
"Año 2015","Julio","Asturias","61-70 años","61-70 años","1.0"
